,timestamps,PLETH,SPO2
42000,2022-10-03 03:46:37.000,5975,97
42001,2022-10-03 03:46:37.010,4894,97
42002,2022-10-03 03:46:37.020,3947,97
42003,2022-10-03 03:46:37.030,3276,97
42004,2022-10-03 03:46:37.040,3276,97
42005,2022-10-03 03:46:37.050,3401,97
42006,2022-10-03 03:46:37.060,4182,97
42007,2022-10-03 03:46:37.070,5743,97
42008,2022-10-03 03:46:37.080,8166,97
42009,2022-10-03 03:46:37.090,11464,97
42010,2022-10-03 03:46:37.100,15586,97
42011,2022-10-03 03:46:37.110,20399,97
42012,2022-10-03 03:46:37.120,25747,97
42013,2022-10-03 03:46:37.130,31428,97
42014,2022-10-03 03:46:37.140,37219,97
42015,2022-10-03 03:46:37.150,42889,97
42016,2022-10-03 03:46:37.160,48225,97
42017,2022-10-03 03:46:37.170,53046,97
42018,2022-10-03 03:46:37.180,57220,97
42019,2022-10-03 03:46:37.190,60630,97
42020,2022-10-03 03:46:37.200,62258,97
42021,2022-10-03 03:46:37.210,62258,97
42022,2022-10-03 03:46:37.220,62258,97
42023,2022-10-03 03:46:37.230,62247,97
42024,2022-10-03 03:46:37.240,61795,97
42025,2022-10-03 03:46:37.250,60790,97
42026,2022-10-03 03:46:37.260,59318,97
42027,2022-10-03 03:46:37.270,57475,97
42028,2022-10-03 03:46:37.280,55346,97
42029,2022-10-03 03:46:37.290,53042,97
42030,2022-10-03 03:46:37.300,50642,97
42031,2022-10-03 03:46:37.310,48231,97
42032,2022-10-03 03:46:37.320,45876,97
42033,2022-10-03 03:46:37.330,43657,97
42034,2022-10-03 03:46:37.340,41606,97
42035,2022-10-03 03:46:37.350,39765,97
42036,2022-10-03 03:46:37.360,38150,97
42037,2022-10-03 03:46:37.370,36763,97
42038,2022-10-03 03:46:37.380,35581,97
42039,2022-10-03 03:46:37.390,34591,97
42040,2022-10-03 03:46:37.400,33759,97
42041,2022-10-03 03:46:37.410,33044,97
42042,2022-10-03 03:46:37.420,32413,97
42043,2022-10-03 03:46:37.430,31813,97
42044,2022-10-03 03:46:37.440,31210,97
42045,2022-10-03 03:46:37.450,30566,97
42046,2022-10-03 03:46:37.460,29860,97
42047,2022-10-03 03:46:37.470,29070,97
42048,2022-10-03 03:46:37.480,28172,97
42049,2022-10-03 03:46:37.490,27178,97
42050,2022-10-03 03:46:37.500,26087,97
42051,2022-10-03 03:46:37.510,24905,97
42052,2022-10-03 03:46:37.520,23643,97
42053,2022-10-03 03:46:37.530,22328,97
42054,2022-10-03 03:46:37.540,20978,97
42055,2022-10-03 03:46:37.550,19604,97
42056,2022-10-03 03:46:37.560,18238,97
42057,2022-10-03 03:46:37.570,16894,97
42058,2022-10-03 03:46:37.580,15582,97
42059,2022-10-03 03:46:37.590,14320,97
42060,2022-10-03 03:46:37.600,13119,97
42061,2022-10-03 03:46:37.610,12007,97
42062,2022-10-03 03:46:37.620,11018,97
42063,2022-10-03 03:46:37.630,10231,97
42064,2022-10-03 03:46:37.640,9757,97
42065,2022-10-03 03:46:37.650,9736,97
42066,2022-10-03 03:46:37.660,10308,97
42067,2022-10-03 03:46:37.670,11611,97
42068,2022-10-03 03:46:37.680,13716,97
42069,2022-10-03 03:46:37.690,16644,97
42070,2022-10-03 03:46:37.700,20343,97
42071,2022-10-03 03:46:37.710,24711,97
42072,2022-10-03 03:46:37.720,29591,97
42073,2022-10-03 03:46:37.730,34804,97
42074,2022-10-03 03:46:37.740,40130,97
42075,2022-10-03 03:46:37.750,45350,97
42076,2022-10-03 03:46:37.760,50277,97
42077,2022-10-03 03:46:37.770,54729,97
42078,2022-10-03 03:46:37.780,58579,97
42079,2022-10-03 03:46:37.790,61721,97
42080,2022-10-03 03:46:37.800,62258,97
42081,2022-10-03 03:46:37.810,62258,97
42082,2022-10-03 03:46:37.820,62258,97
42083,2022-10-03 03:46:37.830,62258,97
42084,2022-10-03 03:46:37.840,61765,97
42085,2022-10-03 03:46:37.850,60756,97
42086,2022-10-03 03:46:37.860,59300,97
42087,2022-10-03 03:46:37.870,57491,97
42088,2022-10-03 03:46:37.880,55402,97
42089,2022-10-03 03:46:37.890,53132,97
42090,2022-10-03 03:46:37.900,50759,97
42091,2022-10-03 03:46:37.910,48364,97
42092,2022-10-03 03:46:37.920,46022,97
42093,2022-10-03 03:46:37.930,43791,97
42094,2022-10-03 03:46:37.940,41714,97
42095,2022-10-03 03:46:37.950,39842,97
42096,2022-10-03 03:46:37.960,38179,97
42097,2022-10-03 03:46:37.970,36740,97
42098,2022-10-03 03:46:37.980,35512,97
42099,2022-10-03 03:46:37.990,34475,97
42100,2022-10-03 03:46:38.000,33605,97
42101,2022-10-03 03:46:38.010,32868,97
42102,2022-10-03 03:46:38.020,32223,97
42103,2022-10-03 03:46:38.030,31626,97
42104,2022-10-03 03:46:38.040,31037,97
42105,2022-10-03 03:46:38.050,30431,97
42106,2022-10-03 03:46:38.060,29777,97
